"ID","n_N","n_gap","length","year","lineage","previous"
"KX708502",0,145,11791,2012,"Cosmopolitan AM2a_A1","Cosmopolitan AM2a"
"KX708503",0,145,11791,2014,"Cosmopolitan AM2a_A1","Cosmopolitan AM2a"
"KX708504",0,143,11793,2008,"Cosmopolitan AM2a_A1","Cosmopolitan AM2a"
"LT909544",0,14,11922,2018,"Cosmopolitan AM2a_A1","Cosmopolitan AM2a"
"JQ685899",0,14,11922,2009,"A1.3.1","Cosmopolitan AM2b"
"JQ685943",0,12,11924,2009,"A1.3.1","Cosmopolitan AM2b"
"AB517659",0,134,11802,2012,"A1.3.2","Cosmopolitan AM3a"
"KC737850",0,134,11802,2011,"A1.3.2","Cosmopolitan AM3a"
"KX148214",0,134,11802,1995,"A1.3.2","Cosmopolitan AM3a"
"KX148215",0,134,11802,1995,"A1.3.2","Cosmopolitan AM3a"
"KX148216",0,134,11802,1986,"A1.3.2","Cosmopolitan AM3a"
"AB362483",0,134,11802,2009,"A1.3.2","Cosmopolitan AM3b"
"AB517660",0,134,11802,2012,"A1.3.2","Cosmopolitan AM3b"
"KM594039",0,135,11801,2009,"A1.3.2","Cosmopolitan AM3b"
"KX148217",0,133,11803,1986,"A1.3.2","Cosmopolitan AM3b"
"JQ685894",0,15,11921,1994,"A1.3","Cosmopolitan AM4"
"JQ685970",0,14,11922,1974,"A1.3","Cosmopolitan AM4"
"JQ944705",0,135,11801,2008,"B1.1","Cosmopolitan CA1"
"KC252633",0,138,11798,2011,"B1.1","Cosmopolitan CA1"
"KC595280",0,212,11724,2011,"B1.1","Cosmopolitan CA1"
"KC595281",0,209,11727,2011,"B1.1","Cosmopolitan CA1"
"KC595282",1,209,11726,2011,"B1.1","Cosmopolitan CA1"
"KC595283",0,212,11724,2011,"B1.1","Cosmopolitan CA1"
"KM016899",0,136,11800,2014,"B1.1","Cosmopolitan CA1"
"KP997032",0,135,11801,2014,"B1.1","Cosmopolitan CA1"
"KT728348",0,135,11801,2003,"Cosmopolitan CA1_A1","Cosmopolitan CA1"
"KT728349",0,135,11801,2003,"Cosmopolitan CA1_A1","Cosmopolitan CA1"
"KX148159",0,135,11801,1974,"Cosmopolitan CA1_A1","Cosmopolitan CA1"
"KY649620",0,136,11800,2018,"B1.1","Cosmopolitan CA1"
"MF172976",0,153,11783,2018,"B1.1","Cosmopolitan CA1"
"MF197741",0,135,11801,2008,"B1.1","Cosmopolitan CA1"
"MH267792",0,135,11801,2017,"B1.1","Cosmopolitan CA1"
"MK760700",0,214,11722,2012,"Cosmopolitan CA1_A1","Cosmopolitan CA1"
"MK760706",0,214,11722,2012,"Cosmopolitan CA1_A1","Cosmopolitan CA1"
"MK760707",0,214,11722,2012,"Cosmopolitan CA1_A1","Cosmopolitan CA1"
"MK760712",0,214,11722,2013,"Cosmopolitan CA1_A1","Cosmopolitan CA1"
"MK760723",0,214,11722,2013,"Cosmopolitan CA1_A1","Cosmopolitan CA1"
"MK760731",0,214,11722,2014,"Cosmopolitan CA1_A1","Cosmopolitan CA1"
"MK760734",0,214,11722,2013,"Cosmopolitan CA1_A1","Cosmopolitan CA1"
"MK760744",0,214,11722,2014,"Cosmopolitan CA1_A1","Cosmopolitan CA1"
"MK760753",0,214,11722,2014,"Cosmopolitan CA1_A1","Cosmopolitan CA1"
"MK760755",0,214,11722,2014,"Cosmopolitan CA1_A1","Cosmopolitan CA1"
"JQ944706",0,135,11801,2008,"Cosmopolitan CA2_A1","Cosmopolitan CA2"
"KF155000",0,135,11801,2010,"Cosmopolitan CA2_A1","Cosmopolitan CA2"
"KX148212",0,135,11801,1993,"Cosmopolitan CA2_A1","Cosmopolitan CA2"
"KY860610",0,135,11801,2001,"Cosmopolitan CA2_A1","Cosmopolitan CA2"
"MK760675",0,214,11722,2008,"Cosmopolitan CA2_A1","Cosmopolitan CA2"
"MK760676",0,214,11722,2009,"Cosmopolitan CA2_A1","Cosmopolitan CA2"
"MK760679",0,214,11722,2008,"Cosmopolitan CA2_A1","Cosmopolitan CA2"
"MK760682",0,214,11722,2009,"Cosmopolitan CA2_A1","Cosmopolitan CA2"
"MK760684",0,214,11722,2009,"Cosmopolitan CA2_A1","Cosmopolitan CA2"
"MK760690",0,214,11722,2010,"Cosmopolitan CA2_A1","Cosmopolitan CA2"
"MK760747",0,214,11722,2014,"Cosmopolitan CA2_A1","Cosmopolitan CA2"
"MK760756",0,214,11722,2014,"Cosmopolitan CA2_A1","Cosmopolitan CA2"
"MK760757",0,214,11722,2014,"Cosmopolitan CA2_A1","Cosmopolitan CA2"
"MK760760",0,214,11722,2014,"Cosmopolitan CA2_A1","Cosmopolitan CA2"
"MK760766",0,214,11722,2015,"Cosmopolitan CA2_A1","Cosmopolitan CA2"
"JQ944708",0,144,11792,2008,"B1","Cosmopolitan CA3"
"KX148160",0,135,11801,1991,"B1","Cosmopolitan CA3"
"MK598338",0,154,11782,2006,"B1","Cosmopolitan CA3"
"MK598339",0,154,11782,2007,"B1","Cosmopolitan CA3"
"MK598340",0,154,11782,2007,"B1","Cosmopolitan CA3"
"MK598341",0,154,11782,2008,"B1","Cosmopolitan CA3"
"MK598342",0,154,11782,2009,"B1","Cosmopolitan CA3"
"KX148113",0,135,11801,1991,"Cosmopolitan CE_A1","Cosmopolitan CE"
"KX148114",0,135,11801,1995,"Cosmopolitan CE_A1","Cosmopolitan CE"
"KX148115",0,135,11801,1996,"Cosmopolitan CE_A1","Cosmopolitan CE"
"KX148116",0,135,11801,1996,"Cosmopolitan CE_A1","Cosmopolitan CE"
"KX148117",0,135,11801,1997,"Cosmopolitan CE_A1","Cosmopolitan CE"
"KX148118",0,135,11801,1994,"Cosmopolitan CE_A1","Cosmopolitan CE"
"KX148119",0,136,11800,1993,"Cosmopolitan CE_A1","Cosmopolitan CE"
"KX148120",0,136,11800,1993,"Cosmopolitan CE_A1","Cosmopolitan CE"
"KX148121",0,136,11800,1993,"Cosmopolitan CE_A1","Cosmopolitan CE"
"KX148122",0,135,11801,1991,"Cosmopolitan CE_A1","Cosmopolitan CE"
"KX148123",0,135,11801,1991,"Cosmopolitan CE_A1","Cosmopolitan CE"
"KX148124",0,135,11801,1991,"Cosmopolitan CE_A1","Cosmopolitan CE"
"LT909547",0,135,11801,2018,"Cosmopolitan CE_A1","Cosmopolitan CE"
"MF197742",0,135,11801,2014,"Cosmopolitan CE_A1","Cosmopolitan CE"
"MG458306",0,135,11801,2018,"Cosmopolitan CE_A1","Cosmopolitan CE"
"KX148136",0,136,11800,1993,"Cosmopolitan EE_A1","Cosmopolitan EE"
"KX148137",0,136,11800,1993,"Cosmopolitan EE_A1","Cosmopolitan EE"
"KX148138",0,136,11800,1993,"Cosmopolitan EE_A1","Cosmopolitan EE"
"KX148139",0,136,11800,1993,"Cosmopolitan EE_A1","Cosmopolitan EE"
"KX148140",0,135,11801,1986,"Cosmopolitan EE_A1","Cosmopolitan EE"
"KX148141",0,135,11801,1992,"Cosmopolitan EE_A1","Cosmopolitan EE"
"KX148142",0,135,11801,1994,"Cosmopolitan EE_A1","Cosmopolitan EE"
"KX148143",0,138,11798,1993,"Cosmopolitan EE_A1","Cosmopolitan EE"
"KX148144",0,135,11801,1994,"Cosmopolitan EE_A1","Cosmopolitan EE"
"KX148145",0,135,11801,1986,"Cosmopolitan EE_A1","Cosmopolitan EE"
"MG458311",0,135,11801,1998,"Cosmopolitan EE_A1","Cosmopolitan EE"
"MK598343",0,154,11782,2008,"Cosmopolitan EE_A1","Cosmopolitan EE"
"MK598344",0,154,11782,2009,"Cosmopolitan EE_A1","Cosmopolitan EE"
"MK598345",0,154,11782,2010,"Cosmopolitan EE_A1","Cosmopolitan EE"
"MK598398",0,156,11780,1996,"Cosmopolitan EE_A1","Cosmopolitan EE"
"KX148168",0,135,11801,1987,"D1","Cosmopolitan ME1a"
"KX148169",0,135,11801,1990,"D1","Cosmopolitan ME1a"
"KX148170",0,135,11801,1990,"D1","Cosmopolitan ME1a"
"KX148171",0,135,11801,1991,"D1","Cosmopolitan ME1a"
"KX148172",0,135,11801,1987,"D1","Cosmopolitan ME1a"
"KX148173",0,135,11801,1997,"D1","Cosmopolitan ME1a"
"KX148174",0,135,11801,1998,"D1","Cosmopolitan ME1a"
"KX148175",0,135,11801,1998,"D1","Cosmopolitan ME1a"
"KX148176",0,135,11801,2004,"D1","Cosmopolitan ME1a"
"KX148177",0,135,11801,1996,"F1","Cosmopolitan ME1a"
"KX148178",0,135,11801,1996,"F1","Cosmopolitan ME1a"
"KX148179",0,135,11801,1996,"F1","Cosmopolitan ME1a"
"KX148180",0,135,11801,1993,"F1","Cosmopolitan ME1a"
"KX148181",0,135,11801,1996,"F1","Cosmopolitan ME1a"
"KX148182",0,135,11801,1996,"F1","Cosmopolitan ME1a"
"KX148183",0,135,11801,1993,"F1","Cosmopolitan ME1a"
"KX148184",0,135,11801,1996,"F1","Cosmopolitan ME1a"
"KX148185",0,135,11801,1996,"Cosmopolitan ME1a_A1","Cosmopolitan ME1a"
"KX148186",0,135,11801,1984,"E1","Cosmopolitan ME1a"
"KX148187",0,135,11801,1996,"A1.1.2","Cosmopolitan ME1a"
"KX148188",0,135,11801,1991,"A1.1.2","Cosmopolitan ME1a"
"KX148189",0,135,11801,1985,"A1.1.2","Cosmopolitan ME1a"
"KX148190",0,135,11801,1976,"A1.1.2","Cosmopolitan ME1a"
"KY860604",0,135,11801,2000,"F1","Cosmopolitan ME1a"
"KY860605",0,135,11801,2001,"F1","Cosmopolitan ME1a"
"KY860606",0,135,11801,2001,"A1.1.2","Cosmopolitan ME1a"
"KY860611",0,135,11801,2001,"A1.1.2","Cosmopolitan ME1a"
"LT909526",0,135,11801,2018,"Cosmopolitan ME1a_A1","Cosmopolitan ME1a"
"LT909533",0,135,11801,2018,"D1","Cosmopolitan ME1a"
"LT909540",0,135,11801,2018,"D1","Cosmopolitan ME1a"
"MK760667",0,214,11722,2008,"E1","Cosmopolitan ME1a"
"MK760668",0,214,11722,2008,"E1","Cosmopolitan ME1a"
"MK760669",0,214,11722,2008,"Cosmopolitan ME1a_A1","Cosmopolitan ME1a"
"MK760670",0,214,11722,2008,"Cosmopolitan ME1a_A1.1","Cosmopolitan ME1a"
"MK760671",0,214,11722,2008,"Cosmopolitan ME1a_A1.1.1","Cosmopolitan ME1a"
"MK760672",0,214,11722,2008,"E1","Cosmopolitan ME1a"
"MK760673",0,214,11722,2008,"Cosmopolitan ME1a_A1","Cosmopolitan ME1a"
"MK760674",0,214,11722,2008,"Cosmopolitan ME1a_A1.1","Cosmopolitan ME1a"
"MK760677",0,214,11722,2009,"Cosmopolitan ME1a_A1","Cosmopolitan ME1a"
"MK760678",0,214,11722,2009,"E1","Cosmopolitan ME1a"
"MK760680",0,214,11722,2008,"A1.1.2","Cosmopolitan ME1a"
"MK760681",0,214,11722,2009,"Cosmopolitan ME1a_A1","Cosmopolitan ME1a"
"MK760683",0,214,11722,2009,"Cosmopolitan ME1a_A1","Cosmopolitan ME1a"
"MK760685",0,215,11721,2009,"Cosmopolitan ME1a_A1.2","Cosmopolitan ME1a"
"MK760686",0,214,11722,2009,"E1","Cosmopolitan ME1a"
"MK760687",0,214,11722,2009,"A1.1.2","Cosmopolitan ME1a"
"MK760688",0,214,11722,2009,"E1","Cosmopolitan ME1a"
"MK760689",0,214,11722,2010,"Cosmopolitan ME1a_A1","Cosmopolitan ME1a"
"MK760691",0,214,11722,2009,"A1.1.2","Cosmopolitan ME1a"
"MK760692",0,214,11722,2009,"E1","Cosmopolitan ME1a"
"MK760693",0,214,11722,2009,"Cosmopolitan ME1a_A1.2","Cosmopolitan ME1a"
"MK760694",0,214,11722,2009,"Cosmopolitan ME1a_A1.1","Cosmopolitan ME1a"
"MK760695",0,214,11722,2011,"Cosmopolitan ME1a_A1","Cosmopolitan ME1a"
"MK760696",0,214,11722,2012,"Cosmopolitan ME1a_A1.1.1","Cosmopolitan ME1a"
"MK760697",0,214,11722,2012,"Cosmopolitan ME1a_A1","Cosmopolitan ME1a"
"MK760698",0,214,11722,2012,"Cosmopolitan ME1a_A1","Cosmopolitan ME1a"
"MK760699",0,214,11722,2012,"Cosmopolitan ME1a_A1.1.1","Cosmopolitan ME1a"
"MK760701",0,214,11722,2012,"Cosmopolitan ME1a_A1","Cosmopolitan ME1a"
"MK760703",0,214,11722,2012,"Cosmopolitan ME1a_A1.2","Cosmopolitan ME1a"
"MK760704",0,214,11722,2012,"Cosmopolitan ME1a_A1.1.1","Cosmopolitan ME1a"
"MK760705",0,214,11722,2012,"Cosmopolitan ME1a_A1","Cosmopolitan ME1a"
"MK760708",0,214,11722,2012,"Cosmopolitan ME1a_A1.2","Cosmopolitan ME1a"
"MK760709",0,214,11722,2012,"E1","Cosmopolitan ME1a"
"MK760710",0,214,11722,2013,"Cosmopolitan ME1a_A1","Cosmopolitan ME1a"
"MK760713",0,214,11722,2013,"Cosmopolitan ME1a_A1.2","Cosmopolitan ME1a"
"MK760715",0,214,11722,2013,"Cosmopolitan ME1a_A1","Cosmopolitan ME1a"
"MK760716",0,214,11722,2013,"Cosmopolitan ME1a_A1","Cosmopolitan ME1a"
"MK760719",0,214,11722,2013,"A1.1.2","Cosmopolitan ME1a"
"MK760720",0,214,11722,2013,"Cosmopolitan ME1a_A1.1.1","Cosmopolitan ME1a"
"MK760721",0,214,11722,2013,"Cosmopolitan ME1a_A1.2","Cosmopolitan ME1a"
"MK760722",0,214,11722,2013,"Cosmopolitan ME1a_A1","Cosmopolitan ME1a"
"MK760724",0,214,11722,2013,"Cosmopolitan ME1a_A1.1","Cosmopolitan ME1a"
"MK760725",0,214,11722,2013,"Cosmopolitan ME1a_A1.2","Cosmopolitan ME1a"
"MK760726",0,214,11722,2013,"Cosmopolitan ME1a_A1.1.1","Cosmopolitan ME1a"
"MK760727",0,214,11722,2013,"E1","Cosmopolitan ME1a"
"MK760728",0,214,11722,2014,"E1","Cosmopolitan ME1a"
"MK760732",0,214,11722,2014,"Cosmopolitan ME1a_A1.2","Cosmopolitan ME1a"
"MK760733",0,214,11722,2014,"Cosmopolitan ME1a_A1.2","Cosmopolitan ME1a"
"MK760736",0,214,11722,2014,"Cosmopolitan ME1a_A1.1","Cosmopolitan ME1a"
"MK760737",0,214,11722,2013,"Cosmopolitan ME1a_A1.1","Cosmopolitan ME1a"
"MK760738",0,214,11722,2014,"Cosmopolitan ME1a_A1.1.1","Cosmopolitan ME1a"
"MK760739",0,214,11722,2013,"E1","Cosmopolitan ME1a"
"MK760740",0,214,11722,2013,"Cosmopolitan ME1a_A1.1","Cosmopolitan ME1a"
"MK760741",0,214,11722,2013,"Cosmopolitan ME1a_A1.1.1","Cosmopolitan ME1a"
"MK760742",0,214,11722,2014,"Cosmopolitan ME1a_A1","Cosmopolitan ME1a"
"MK760745",0,214,11722,2014,"Cosmopolitan ME1a_A1.1.1","Cosmopolitan ME1a"
"MK760748",0,214,11722,2014,"Cosmopolitan ME1a_A1.2","Cosmopolitan ME1a"
"MK760749",0,214,11722,2014,"Cosmopolitan ME1a_A1.2","Cosmopolitan ME1a"
"MK760750",0,214,11722,2014,"Cosmopolitan ME1a_A1","Cosmopolitan ME1a"
"MK760751",0,214,11722,2014,"Cosmopolitan ME1a_A1","Cosmopolitan ME1a"
"MK760752",0,214,11722,2014,"Cosmopolitan ME1a_A1.2","Cosmopolitan ME1a"
"MK760754",0,214,11722,2014,"Cosmopolitan ME1a_A1.1.1","Cosmopolitan ME1a"
"MK760758",0,214,11722,2014,"Cosmopolitan ME1a_A1.1.1","Cosmopolitan ME1a"
"MK760759",0,214,11722,2014,"Cosmopolitan ME1a_A1","Cosmopolitan ME1a"
"MK760762",0,214,11722,2014,"Cosmopolitan ME1a_A1.2","Cosmopolitan ME1a"
"MK760763",0,214,11722,2014,"Cosmopolitan ME1a_A1","Cosmopolitan ME1a"
"MK760764",0,214,11722,2014,"E1","Cosmopolitan ME1a"
"MK760765",0,214,11722,2014,"Cosmopolitan ME1a_A1.2","Cosmopolitan ME1a"
"MK760767",0,214,11722,2015,"Cosmopolitan ME1a_A1.2","Cosmopolitan ME1a"
"MN534896",0,135,11801,2018,"D1","Cosmopolitan ME1a"
"MN534897",0,135,11801,2018,"D1","Cosmopolitan ME1a"
"KX148191",0,134,11802,1993,"A1.1.2","Cosmopolitan ME1b"
"KX148192",0,134,11802,1993,"A1.1.2","Cosmopolitan ME1b"
"KX148162",0,135,11801,1993,"Cosmopolitan ME2_A1","Cosmopolitan ME2"
"KX148163",0,135,11801,1993,"Cosmopolitan ME2_A1","Cosmopolitan ME2"
"KX148164",0,135,11801,1993,"Cosmopolitan ME2_A1","Cosmopolitan ME2"
"KX148165",0,135,11801,1993,"Cosmopolitan ME2_A1","Cosmopolitan ME2"
"KX148166",0,135,11801,1993,"Cosmopolitan ME2_A1","Cosmopolitan ME2"
"KX148167",0,135,11801,1993,"Cosmopolitan ME2_A1","Cosmopolitan ME2"
"KY860583",0,135,11801,1999,"Cosmopolitan ME2_A1.1.1","Cosmopolitan ME2"
"KY860584",0,135,11801,1999,"Cosmopolitan ME2_A1.1.1","Cosmopolitan ME2"
"KY860585",0,135,11801,2001,"Cosmopolitan ME2_A1.1.1","Cosmopolitan ME2"
"KY860586",0,135,11801,2001,"Cosmopolitan ME2_A1.1.1","Cosmopolitan ME2"
"KY860587",0,135,11801,2001,"Cosmopolitan ME2_A1.1.1","Cosmopolitan ME2"
"KY860588",0,135,11801,2004,"Cosmopolitan ME2_A1.1.1","Cosmopolitan ME2"
"KY860589",0,135,11801,2006,"Cosmopolitan ME2_B1","Cosmopolitan ME2"
"KY860590",0,135,11801,2007,"Cosmopolitan ME2_A1.1.1","Cosmopolitan ME2"
"KY860591",0,135,11801,2008,"Cosmopolitan ME2_B1","Cosmopolitan ME2"
"KY860592",0,135,11801,2009,"Cosmopolitan ME2_B1","Cosmopolitan ME2"
"KY860593",0,135,11801,2010,"Cosmopolitan ME2_B1","Cosmopolitan ME2"
"KY860594",0,135,11801,2012,"Cosmopolitan ME2_B1","Cosmopolitan ME2"
"KY860595",0,135,11801,2012,"Cosmopolitan ME2_A1.1.1","Cosmopolitan ME2"
"KY860596",0,135,11801,2014,"Cosmopolitan ME2_B1","Cosmopolitan ME2"
"KY860597",0,135,11801,2014,"Cosmopolitan ME2_B1","Cosmopolitan ME2"
"KY860598",0,135,11801,2014,"Cosmopolitan ME2_B1","Cosmopolitan ME2"
"KY860599",0,135,11801,2014,"Cosmopolitan ME2_B1","Cosmopolitan ME2"
"KY860600",0,135,11801,2014,"Cosmopolitan ME2_B1","Cosmopolitan ME2"
"KY860601",0,135,11801,2014,"Cosmopolitan ME2_B1","Cosmopolitan ME2"
"KY860602",0,135,11801,2014,"Cosmopolitan ME2_B1","Cosmopolitan ME2"
"KY860603",0,135,11801,2015,"Cosmopolitan ME2_A1.1.1","Cosmopolitan ME2"
"KY860607",0,135,11801,2001,"Cosmopolitan ME2_A1.1.1","Cosmopolitan ME2"
"KY860608",0,135,11801,2001,"Cosmopolitan ME2_A1.1.1","Cosmopolitan ME2"
"KY860609",0,135,11801,2001,"Cosmopolitan ME2_A1","Cosmopolitan ME2"
"KY860612",0,135,11801,1989,"Cosmopolitan ME2_A1.1","Cosmopolitan ME2"
"MK760711",0,214,11722,2013,"Cosmopolitan ME2_A1.1","Cosmopolitan ME2"
"MK760714",0,214,11722,2013,"Cosmopolitan ME2_A1.1","Cosmopolitan ME2"
"MK760717",0,214,11722,2013,"Cosmopolitan ME2_A1.1","Cosmopolitan ME2"
"MK760718",0,214,11722,2013,"Cosmopolitan ME2_A1.1","Cosmopolitan ME2"
"MK760730",0,214,11722,2014,"Cosmopolitan ME2_A1.1","Cosmopolitan ME2"
"MK760743",0,214,11722,2014,"Cosmopolitan ME2_A1.1","Cosmopolitan ME2"
"MK760746",0,214,11722,2014,"Cosmopolitan ME2_A1.1","Cosmopolitan ME2"
"JQ944704",0,135,11801,2009,"Cosmopolitan NEE_A1.2","Cosmopolitan NEE"
"KF154997",0,135,11801,2013,"Cosmopolitan NEE_A1.2","Cosmopolitan NEE"
"KX148146",0,135,11801,1993,"Cosmopolitan NEE_A1.2","Cosmopolitan NEE"
"KX148147",0,135,11801,1988,"Cosmopolitan NEE_A1.2","Cosmopolitan NEE"
"KX148148",0,135,11801,1992,"Cosmopolitan NEE_A1.2","Cosmopolitan NEE"
"KX148149",0,135,11801,1991,"Cosmopolitan NEE_A1.2","Cosmopolitan NEE"
"KX148150",0,135,11801,1986,"Cosmopolitan NEE_A1.2","Cosmopolitan NEE"
"KX148151",0,135,11801,1996,"Cosmopolitan NEE_A1","Cosmopolitan NEE"
"KX148152",0,135,11801,1996,"Cosmopolitan NEE_A1","Cosmopolitan NEE"
"KX148153",0,135,11801,1996,"Cosmopolitan NEE_A1","Cosmopolitan NEE"
"KX148154",0,135,11801,1997,"Cosmopolitan NEE_A1","Cosmopolitan NEE"
"KX148155",0,135,11801,1993,"Cosmopolitan NEE_A1","Cosmopolitan NEE"
"KX148156",0,135,11801,1991,"Cosmopolitan NEE_A1","Cosmopolitan NEE"
"KX148157",0,135,11801,1993,"Cosmopolitan NEE_A1","Cosmopolitan NEE"
"KX148158",0,135,11801,1993,"Cosmopolitan NEE_A1","Cosmopolitan NEE"
"LT909532",0,135,11801,2018,"Cosmopolitan NEE_A1.2","Cosmopolitan NEE"
"LT909537",0,135,11801,2018,"Cosmopolitan NEE_A1.2","Cosmopolitan NEE"
"LT909538",0,135,11801,2018,"Cosmopolitan NEE_A1.2","Cosmopolitan NEE"
"MF197743",0,135,11801,2010,"Cosmopolitan NEE_A1.1","Cosmopolitan NEE"
"MK598346",0,154,11782,2010,"Cosmopolitan NEE_A1.1","Cosmopolitan NEE"
"MK598347",0,154,11782,2016,"Cosmopolitan NEE_A1.1","Cosmopolitan NEE"
"MK598348",0,154,11782,2017,"Cosmopolitan NEE_A1.1","Cosmopolitan NEE"
"MK598349",0,154,11782,2017,"Cosmopolitan NEE_A1.1","Cosmopolitan NEE"
"MK598350",0,154,11782,2017,"Cosmopolitan NEE_A1.1","Cosmopolitan NEE"
"MK598351",0,154,11782,2013,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598352",0,154,11782,2013,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598353",0,154,11782,2013,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598354",0,154,11782,2013,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598355",0,154,11782,2013,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598356",0,154,11782,2013,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598357",0,154,11782,2013,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598358",0,154,11782,2013,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598359",0,154,11782,2013,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598360",0,154,11782,2013,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598361",0,154,11782,2013,"Cosmopolitan NEE_A1.1.1","Cosmopolitan NEE"
"MK598362",0,154,11782,2013,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598363",0,154,11782,2013,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598364",0,154,11782,2013,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598365",0,154,11782,2014,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598366",0,154,11782,2014,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598367",0,154,11782,2014,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598368",0,154,11782,2014,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598369",0,154,11782,2014,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598370",0,154,11782,2014,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598371",0,154,11782,2014,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598372",0,154,11782,2014,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598373",0,154,11782,2014,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598374",0,154,11782,2014,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598375",0,154,11782,2014,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598376",0,154,11782,2014,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598377",0,154,11782,2014,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598378",0,154,11782,2014,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598379",0,154,11782,2014,"Cosmopolitan NEE_B1","Cosmopolitan NEE"
"MK598380",0,154,11782,2013,"Cosmopolitan NEE_C1","Cosmopolitan NEE"
"MK598381",0,154,11782,2013,"Cosmopolitan NEE_A1.1.1","Cosmopolitan NEE"
"MK598382",0,154,11782,2013,"Cosmopolitan NEE_C1","Cosmopolitan NEE"
"MK598383",0,154,11782,2013,"Cosmopolitan NEE_C1","Cosmopolitan NEE"
"MK598384",0,154,11782,2013,"Cosmopolitan NEE_C1","Cosmopolitan NEE"
"MK598385",0,154,11782,2013,"Cosmopolitan NEE_C1","Cosmopolitan NEE"
"MK598386",0,154,11782,2013,"Cosmopolitan NEE_C1","Cosmopolitan NEE"
"MK598387",0,154,11782,2013,"Cosmopolitan NEE_C1","Cosmopolitan NEE"
"MK598388",0,154,11782,2013,"Cosmopolitan NEE_C1","Cosmopolitan NEE"
"MK598389",0,154,11782,2013,"Cosmopolitan NEE_C1","Cosmopolitan NEE"
"MK598390",0,154,11782,2014,"Cosmopolitan NEE_C1","Cosmopolitan NEE"
"MK598391",0,154,11782,2014,"Cosmopolitan NEE_C1","Cosmopolitan NEE"
"MK598392",0,154,11782,2014,"Cosmopolitan NEE_C1","Cosmopolitan NEE"
"MK598393",0,154,11782,2014,"Cosmopolitan NEE_C1","Cosmopolitan NEE"
"MK598394",0,154,11782,2014,"Cosmopolitan NEE_C1","Cosmopolitan NEE"
"MK598395",0,154,11782,2014,"Cosmopolitan NEE_C1","Cosmopolitan NEE"
"MK598396",0,154,11782,2014,"Cosmopolitan NEE_C1","Cosmopolitan NEE"
"MK598397",0,154,11782,2014,"Cosmopolitan NEE_C1","Cosmopolitan NEE"
"EU293115",0,135,11801,1991,"Cosmopolitan WE_A1","Cosmopolitan WE"
"KX148125",0,135,11801,1994,"Cosmopolitan WE_A1","Cosmopolitan WE"
"KX148126",0,135,11801,1996,"Cosmopolitan WE_A1","Cosmopolitan WE"
"KX148127",0,135,11801,1991,"Cosmopolitan WE_A1","Cosmopolitan WE"
"KX148128",0,135,11801,1992,"Cosmopolitan WE_A1","Cosmopolitan WE"
"KX148129",0,135,11801,1994,"Cosmopolitan WE_A1","Cosmopolitan WE"
"KX148130",0,135,11801,1994,"Cosmopolitan WE_A1","Cosmopolitan WE"
"KX148131",0,135,11801,1994,"Cosmopolitan WE_A1","Cosmopolitan WE"
"KX148132",0,135,11801,1994,"Cosmopolitan WE_A1","Cosmopolitan WE"
"KX148133",0,135,11801,1986,"Cosmopolitan WE_A1","Cosmopolitan WE"
"KX148134",0,135,11801,1994,"Cosmopolitan WE_A1","Cosmopolitan WE"
"KX148135",0,135,11801,1991,"A1.1.1","Cosmopolitan WE"
"LN879481",0,135,11801,1998,"Cosmopolitan WE_A1","Cosmopolitan WE"
"MG458310",0,135,11801,1986,"Cosmopolitan WE_A1","Cosmopolitan WE"
"KX148104",0,13,11923,1978,"A1.1","Cosmopolitan YUGCOW"
"MG458309",0,13,11923,1978,"A1.1","Cosmopolitan YUGCOW"
"KX148161",0,135,11801,1972,"A1.1.1","Cosmopolitan YUGFOX"
